Part,Operator,Measurement
1,检验员A,0.49
1,检验员A,0.532
1,检验员B,0.546
1,检验员B,0.609
1,检验员C,0.524
1,检验员C,0.511
2,检验员A,0.651
2,检验员A,0.589
2,检验员B,0.637
2,检验员B,0.746
2,检验员C,0.655
2,检验员C,0.657
3,检验员A,0.615
3,检验员A,0.726
3,检验员B,0.727
3,检验员B,0.747
3,检验员C,0.649
3,检验员C,0.668
4,检验员A,0.779
4,检验员A,0.852
4,检验员B,0.731
4,检验员B,0.776
4,检验员C,0.724
4,检验员C,0.742
5,检验员A,0.842
5,检验员A,0.86
5,检验员B,0.847
5,检验员B,0.77
5,检验员C,0.815
5,检验员C,0.822
6,检验员A,0.873
6,检验员A,0.841
6,检验员B,0.899
6,检验员B,0.805
6,检验员C,0.808
6,检验员C,0.834
7,检验员A,0.917
7,检验员A,0.861
7,检验员B,1.024
7,检验员B,0.966
7,检验员C,0.834
7,检验员C,0.858
8,检验员A,0.973
8,检验员A,1.041
8,检验员B,1.048
8,检验员B,0.984
8,检验员C,0.89
8,检验员C,0.981
9,检验员A,0.965
9,检验员A,0.943
9,检验员B,1.073
9,检验员B,1.024
9,检验员C,1.048
9,检验员C,0.962
10,检验员A,1.03
10,检验员A,1.081
10,检验员B,1.151
10,检验员B,1.125
10,检验员C,1.045
10,检验员C,1.114
