序列号,焊接温度_℃,环境湿度_pctRH,接地电阻_mΩ,屏蔽压接间隙_mm,产线,芯片供应商,等效输入噪声_uVp-p
EEG2608001,327.5,63.2,12.8,0.496,A线,微邦半导体,0.829
EEG2608002,358.9,50.3,38.6,0.399,B线,华芯微,0.99
EEG2608003,332.4,50.3,15.1,0.442,A线,微邦半导体,0.782
EEG2608004,331.0,57.8,26.9,0.249,B线,海外N社,0.765
EEG2608005,338.6,43.6,24.5,0.135,A线,华芯微,0.658
EEG2608006,339.6,45.1,29.9,0.345,B线,海外N社,0.907
EEG2608007,339.0,42.2,8.0,0.278,A线,华芯微,0.52
EEG2608008,340.4,50.3,17.5,0.322,B线,海外N社,0.704
EEG2608009,334.1,45.9,31.8,0.313,A线,华芯微,0.87
EEG2608010,332.3,52.6,28.7,0.154,B线,微邦半导体,0.844
EEG2608011,338.6,40.5,30.5,0.289,A线,华芯微,0.885
EEG2608012,348.6,50.1,13.7,0.306,B线,微邦半导体,0.72
EEG2608013,344.3,36.5,35.7,0.348,A线,华芯微,0.953
EEG2608014,353.9,62.8,31.3,0.304,B线,华芯微,0.709
EEG2608015,342.6,49.4,36.0,0.175,A线,华芯微,0.737
EEG2608016,360.5,52.0,15.5,0.34,B线,海外N社,0.599
EEG2608017,335.5,42.5,8.0,0.55,A线,华芯微,0.818
EEG2608018,350.5,32.5,23.8,0.476,B线,华芯微,0.968
EEG2608019,340.2,52.7,30.0,0.402,A线,海外N社,0.748
EEG2608020,332.1,37.3,26.0,0.541,B线,微邦半导体,1.167
EEG2608021,325.7,38.8,33.8,0.207,A线,微邦半导体,0.982
EEG2608022,342.3,45.8,12.4,0.412,B线,华芯微,0.77
EEG2608023,337.2,32.4,24.3,0.409,A线,华芯微,0.815
EEG2608024,345.0,50.5,27.7,0.328,B线,海外N社,0.854
EEG2608025,348.5,57.2,31.1,0.417,A线,华芯微,0.862
EEG2608026,326.2,45.1,8.0,0.206,B线,华芯微,0.578
EEG2608027,324.8,30.9,23.8,0.322,A线,微邦半导体,1.064
EEG2608028,338.7,36.5,31.0,0.363,B线,华芯微,0.941
EEG2608029,344.4,39.6,33.5,0.238,A线,华芯微,0.834
EEG2608030,368.0,45.7,25.9,0.199,B线,华芯微,0.644
EEG2608031,347.9,38.6,25.3,0.323,A线,微邦半导体,0.835
EEG2608032,336.0,44.7,25.3,0.423,B线,华芯微,0.907
EEG2608033,336.3,59.7,27.8,0.195,A线,华芯微,0.692
EEG2608034,372.6,42.7,20.3,0.08,B线,华芯微,0.473
EEG2608035,343.4,36.0,21.0,0.416,A线,微邦半导体,0.926
EEG2608036,328.1,39.0,23.8,0.312,B线,华芯微,0.891
EEG2608037,329.7,51.9,43.5,0.398,A线,华芯微,1.056
EEG2608038,326.0,49.2,42.3,0.213,B线,微邦半导体,1.086
EEG2608039,345.8,51.2,30.6,0.436,A线,华芯微,0.886
EEG2608040,328.7,55.5,14.8,0.22,B线,微邦半导体,0.781
EEG2608041,342.5,41.6,17.2,0.387,A线,海外N社,0.745
EEG2608042,338.2,37.6,16.5,0.423,B线,微邦半导体,0.977
EEG2608043,335.6,40.9,29.7,0.151,A线,海外N社,0.777
EEG2608044,329.3,57.3,18.3,0.144,B线,华芯微,0.664
EEG2608045,338.5,36.9,32.2,0.327,A线,华芯微,0.899
EEG2608046,328.2,44.1,24.3,0.355,B线,微邦半导体,1.021
EEG2608047,336.5,53.4,25.5,0.08,A线,华芯微,0.617
EEG2608048,327.5,38.6,29.7,0.151,B线,华芯微,0.839
EEG2608049,341.6,38.2,24.4,0.322,A线,华芯微,0.805
EEG2608050,355.6,36.1,9.0,0.413,B线,华芯微,0.745
EEG2608051,338.4,38.3,23.5,0.36,A线,华芯微,0.79
EEG2608052,335.2,43.5,35.4,0.276,B线,华芯微,1.019
EEG2608053,342.2,40.0,20.1,0.327,A线,华芯微,0.757
EEG2608054,339.4,37.2,34.8,0.305,B线,华芯微,0.965
EEG2608055,341.6,53.8,20.3,0.302,A线,海外N社,0.654
EEG2608056,360.4,49.8,13.0,0.08,B线,海外N社,0.4
EEG2608057,346.3,57.5,21.1,0.211,A线,华芯微,0.631
EEG2608058,339.8,43.8,15.4,0.386,B线,微邦半导体,0.856
EEG2608059,330.3,49.6,24.5,0.322,A线,海外N社,0.731
EEG2608060,362.9,46.9,27.5,0.416,B线,华芯微,0.82
